         1497223 function calls (1446598 primitive calls) in 64.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1687/11    0.004    0.000    0.046    0.004 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_utils/_transform.py:145(_transform_recursive)
        2    0.000    0.000    0.045    0.022 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_client.py:74(__init__)
        1    0.000    0.000    0.044    0.044 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/sounddevice.py:1571(__init__)
        1    0.044    0.044    0.044    0.044 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/sounddevice.py:730(__init__)
        1    0.000    0.000    0.044    0.044 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/urllib3/__init__.py:1(<module>)
     1577    0.006    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        2    0.000    0.000    0.042    0.021 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_base_client.py:792(__init__)
     3002    0.021    0.000    0.041    0.000 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/sounddevice.py:2748(_array)
     2625    0.041    0.000    0.041    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.041    0.041 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_utils/_logs.py:1(<module>)
        2    0.000    0.000    0.041    0.020 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_base_client.py:758(__init__)
        2    0.000    0.000    0.041    0.020 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_client.py:639(__init__)
     2116    0.008    0.000    0.041    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/tasks.py:703(sleep)
        1    0.000    0.000    0.041    0.041 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_utils/_utils.py:1(<module>)
        1    0.000    0.000    0.040    0.040 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/beta/realtime/__init__.py:1(<module>)
       14    0.000    0.000    0.039    0.003 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/call_manager.py:761(join)
        1    0.000    0.000    0.039    0.039 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/_compat.py:1(<module>)
        1    0.000    0.000    0.039    0.039 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/beta/realtime/realtime.py:1(<module>)
        1    0.000    0.000    0.039    0.039 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/resources/beta/realtime/sessions.py:1(<module>)
  381/378    0.001    0.000    0.038    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1640(_log)
        1    0.000    0.000    0.038    0.038 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/types/beta/realtime/__init__.py:1(<module>)
        2    0.000    0.000    0.038    0.019 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_client.py:718(_init_transport)
        2    0.000    0.000    0.038    0.019 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_transports/default.py:136(__init__)
  926/916    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      128    0.000    0.000    0.037    0.000 {method 'join' of 'bytes' objects}
245360/239554    0.029    0.000    0.036    0.000 {built-in method builtins.isinstance}
      884    0.004    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
       22    0.000    0.000    0.035    0.002 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_models.py:876(read)
        1    0.000    0.000    0.035    0.035 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/openai/types/beta/thread_create_params.py:1(<module>)
       23    0.000    0.000    0.035    0.002 /Users/ash/develop/phoenix/phoenix-vapi/.venv/lib/python3.13/site-packages/httpx/_models.py:884(iter_bytes)
      457    0.001    0.000    0.035    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:330(_compile)
        2    0.000    0.000    0.035    0.017 /Users/ash/develop/phoenix/phoenix-vapi/src/services/intent_service.py:30(start)
        2    0.000    0.000    0.035    0.017 /Users/ash/develop/phoenix/phoenix-vapi/src/services/intent_service.py:48(setup_detector)
        1    0.000    0.000    0.035    0.035 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/llm_intent_manager.py:47(create)
        1    0.000    0.000    0.035    0.035 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/llm_intent_manager.py:24(__init__)
        1    0.000    0.000    0.035    0.035 /Users/ash/develop/phoenix/phoenix-vapi/src/managers/llm_intent_manager.py:36(_initialize_openai)
  298/297    0.001    0.000    0.034    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1509(info)
